,Type,Viewership Score,Days In Top 10
3210,TV Show,59,6
3211,TV Show,64,8
3212,TV Show,119,13
3213,Movie,35,4
3214,TV Show,6,1
3215,TV Show,68,10
3216,Movie,44,8
3217,Movie,16,5
3218,TV Show,349,121
3219,TV Show,427,53
3220,TV Show,69,7
3221,TV Show,73,9
3222,TV Show,8,1
3223,TV Show,126,14
3224,TV Show,12,2
3225,Movie,40,5
3226,TV Show,72,11
3227,TV Show,352,122
3228,Movie,2,1
3229,TV Show,428,54
3230,TV Show,18,2
3231,TV Show,78,8
3232,TV Show,81,10
3233,TV Show,19,3
3234,TV Show,132,15
3235,TV Show,5,1
3236,Movie,44,6
3237,TV Show,75,12
3238,TV Show,354,123
3239,TV Show,429,55
3240,TV Show,15,2
3241,TV Show,27,3
3242,TV Show,89,11
3243,TV Show,85,9
3244,TV Show,138,16
3245,TV Show,24,4
3246,TV Show,358,124
3247,Movie,47,7
3248,TV Show,77,13
3249,TV Show,430,56
3250,Movie,10,1
3251,TV Show,24,3
3252,TV Show,35,4
3253,TV Show,96,12
3254,TV Show,91,10
3255,TV Show,143,17
3256,TV Show,28,5
3257,TV Show,361,125
3258,TV Show,2,1
3259,TV Show,431,57
3260,Movie,20,2
3261,TV Show,33,4
3262,TV Show,43,5
3263,TV Show,103,13
3264,TV Show,97,11
3265,TV Show,148,18
3266,TV Show,6,2
3267,TV Show,31,6
3268,TV Show,363,126
3269,TV Show,432,58
3270,Movie,30,3
3271,TV Show,42,5
3272,TV Show,51,6
3273,TV Show,110,14
3274,TV Show,103,12
3275,TV Show,153,19
3276,Movie,4,1
3277,TV Show,9,3
3278,TV Show,33,7
3279,TV Show,364,127
3280,Movie,40,4
3281,TV Show,51,6
3282,TV Show,59,7
3283,TV Show,117,15
3284,TV Show,159,20
3285,Movie,9,2
3286,TV Show,107,13
3287,TV Show,12,4
3288,TV Show,366,128
3289,TV Show,34,8
3290,Movie,50,5
3291,TV Show,60,7
3292,TV Show,67,8
3293,TV Show,124,16
3294,TV Show,165,21
3295,TV Show,371,129
3296,TV Show,111,14
3297,Movie,12,3
3298,TV Show,14,5
3299,TV Show,35,9
3300,Movie,60,6
3301,TV Show,69,8
3302,TV Show,75,9
3303,TV Show,131,17
3304,TV Show,6,1
3305,TV Show,170,22
3306,TV Show,375,130
3307,TV Show,114,15
3308,TV Show,2,1
3309,Movie,13,4
3310,TV Show,16,2
3311,Movie,69,7
3312,TV Show,77,9
3313,TV Show,138,18
3314,TV Show,81,10
3315,TV Show,7,2
3316,TV Show,174,23
3317,TV Show,378,131
3318,TV Show,2,1
3319,TV Show,115,16
3320,TV Show,26,3
3321,Movie,9,1
3322,Movie,77,8
3323,TV Show,84,10
3324,TV Show,13,3
3325,TV Show,143,19
3326,TV Show,85,11
3327,TV Show,177,24
3328,TV Show,380,132
3329,TV Show,3,2
3330,TV Show,36,4
3331,Movie,18,2
3332,Movie,85,9
3333,TV Show,20,4
3334,TV Show,90,11
3335,TV Show,148,20
3336,TV Show,7,3
3337,TV Show,88,12
3338,TV Show,179,25
3339,TV Show,381,133
3340,TV Show,46,5
3341,Movie,27,3
3342,Movie,93,10
3343,TV Show,27,5
3344,TV Show,96,12
3345,TV Show,153,21
3346,TV Show,92,13
3347,TV Show,10,4
3348,TV Show,181,26
3349,TV Show,382,134
3350,TV Show,56,6
3351,Movie,36,4
3352,Movie,8,1
3353,TV Show,103,13
3354,TV Show,159,22
3355,TV Show,32,6
3356,Movie,97,11
3357,TV Show,95,14
3358,TV Show,384,135
3359,TV Show,182,27
3360,TV Show,66,7
3361,Movie,45,5
3362,Movie,16,2
3363,TV Show,110,14
3364,TV Show,165,23
3365,TV Show,100,15
3366,TV Show,36,7
3367,Movie,100,12
3368,TV Show,386,136
3369,Movie,1,1
3370,TV Show,76,8
3371,TV Show,9,1
3372,Movie,53,6
3373,Movie,23,3
3374,TV Show,171,24
3375,TV Show,115,15
3376,Movie,4,1
3377,TV Show,103,16
3378,TV Show,388,137
3379,Movie,101,13
3380,TV Show,86,9
3381,TV Show,18,2
3382,Movie,12,2
3383,Movie,60,7
3384,TV Show,177,25
3385,TV Show,120,16
3386,Movie,27,4
3387,TV Show,391,138
3388,TV Show,105,17
3389,Movie,1,1
3390,TV Show,96,10
3391,TV Show,27,3
3392,Movie,8,1
3393,Movie,19,3
3394,Movie,66,8
3395,TV Show,182,26
3396,TV Show,124,17
3397,Movie,4,2
3398,TV Show,393,139
3399,Movie,1,1
3400,TV Show,106,11
3401,TV Show,36,4
3402,Movie,16,2
3403,Movie,26,4
3404,Movie,72,9
3405,Movie,9,3
3406,Movie,5,2
3407,TV Show,127,18
3408,TV Show,184,27
3409,Movie,102,14
3410,TV Show,116,12
3411,TV Show,45,5
3412,Movie,24,3
3413,Movie,16,4
3414,Movie,11,3
3415,Movie,31,5
3416,TV Show,131,19
3417,Movie,75,10
3418,TV Show,186,28
3419,Movie,103,15
3420,TV Show,126,13
3421,TV Show,54,6
3422,TV Show,194,29
3423,Movie,23,5
3424,Movie,30,4
3425,TV Show,398,140
3426,TV Show,135,20
3427,Movie,14,4
3428,TV Show,107,18
3429,Movie,32,6
3430,TV Show,136,14
3431,TV Show,63,7
3432,TV Show,202,30
3433,TV Show,405,141
3434,Movie,29,6
3435,Movie,5,1
3436,TV Show,139,21
3437,Movie,17,5
3438,TV Show,109,19
3439,Movie,33,7
3440,TV Show,146,15
3441,TV Show,9,1
3442,TV Show,210,31
3443,TV Show,412,142
3444,Movie,11,2
3445,TV Show,68,8
3446,TV Show,143,22
3447,TV Show,112,20
3448,Movie,19,6
3449,Movie,30,7
3450,TV Show,156,16
3451,TV Show,18,2
3452,TV Show,218,32
3453,TV Show,419,143
3454,Movie,17,3
3455,TV Show,5,1
3456,TV Show,147,23
3457,TV Show,115,21
3458,TV Show,70,9
3459,Movie,20,7
3460,TV Show,166,17
3461,TV Show,27,3
3462,TV Show,226,33
3463,TV Show,426,144
3464,Movie,23,4
3465,TV Show,10,2
3466,TV Show,151,24
3467,TV Show,118,22
3468,TV Show,72,10
3469,Movie,21,8
3470,Movie,10,1
3471,TV Show,175,18
3472,TV Show,8,1
3473,TV Show,34,4
3474,Movie,29,5
3475,TV Show,15,3
3476,TV Show,430,145
3477,TV Show,229,34
3478,TV Show,2,1
3479,TV Show,152,25
3480,Movie,20,2
3481,TV Show,184,19
3482,TV Show,16,2
3483,TV Show,41,5
3484,Movie,35,6
3485,TV Show,20,4
3486,TV Show,434,146
3487,TV Show,5,2
3488,TV Show,154,26
3489,TV Show,230,35
3490,Movie,30,3
3491,TV Show,193,20
3492,TV Show,24,3
3493,TV Show,7,1
3494,TV Show,47,6
3495,TV Show,439,147
3496,TV Show,234,36
3497,TV Show,23,5
3498,TV Show,7,3
3499,Movie,36,7
3500,Movie,40,4
3501,TV Show,202,21
3502,TV Show,32,4
3503,TV Show,14,2
3504,Movie,6,1
3505,TV Show,52,7
3506,TV Show,443,148
3507,TV Show,237,37
3508,TV Show,25,6
3509,TV Show,8,4
3510,Movie,50,5
3511,TV Show,211,22
3512,TV Show,22,3
3513,Movie,13,2
3514,TV Show,38,5
3515,Movie,5,1
3516,TV Show,447,149
3517,TV Show,55,8
3518,TV Show,239,38
3519,Movie,1,1
3520,Movie,60,6
3521,TV Show,220,23
3522,Movie,21,3
3523,TV Show,29,4
3524,Movie,6,1
3525,TV Show,43,6
3526,Movie,9,2
3527,TV Show,450,150
3528,Movie,3,2
3529,TV Show,240,39
3530,Movie,70,7
3531,Movie,15,2
3532,Movie,29,4
3533,TV Show,227,24
3534,Movie,15,3
3535,TV Show,48,7
3536,TV Show,33,5
3537,TV Show,453,151
3538,Movie,2,1
3539,Movie,4,3
3540,Movie,80,8
3541,Movie,24,3
3542,Movie,37,5
3543,TV Show,234,25
3544,Movie,21,4
3545,TV Show,53,8
3546,TV Show,37,6
3547,TV Show,456,152
3548,Movie,4,2
3549,Movie,5,4
3550,Movie,34,4
3551,Movie,30,5
3552,Movie,88,9
3553,TV Show,241,26
3554,Movie,43,6
3555,Movie,5,1
3556,Movie,8,3
3557,TV Show,56,9
3558,TV Show,2,1
3559,Movie,6,5
3560,Movie,44,5
3561,TV Show,250,27
3562,Movie,38,6
3563,Movie,95,10
3564,Movie,11,2
3565,Movie,48,7
3566,TV Show,6,2
3567,TV Show,459,153
3568,TV Show,58,10
3569,Movie,9,4
3570,Movie,54,6
3571,TV Show,259,28
3572,Movie,46,7
3573,Movie,102,11
3574,Movie,54,8
3575,TV Show,11,3
3576,TV Show,463,154
3577,Movie,14,3
3578,TV Show,60,11
3579,TV Show,241,40
3580,TV Show,269,29
3581,Movie,63,7
3582,Movie,54,8
3583,TV Show,470,155
3584,TV Show,17,4
3585,Movie,107,12
3586,TV Show,64,12
3587,Movie,57,9
3588,Movie,16,4
3589,TV Show,242,41
3590,TV Show,279,30
3591,TV Show,9,1
3592,Movie,71,8
3593,TV Show,477,156
3594,Movie,60,9
3595,TV Show,22,5
3596,Movie,111,13
3597,TV Show,67,13
3598,TV Show,244,42
3599,Movie,1,1
3600,TV Show,19,2
3601,TV Show,288,31
3602,TV Show,485,157
3603,Movie,118,14
3604,Movie,77,9
3605,Movie,5,1
3606,Movie,5,2
3607,Movie,63,10
3608,TV Show,35,11
3609,TV Show,23,6
3610,Movie,10,1
3611,Movie,14,2
3612,Movie,126,15
3613,Movie,7,1
3614,Movie,11,3
3615,Movie,82,10
3616,Movie,67,11
3617,Movie,60,10
3618,Movie,2,1
3619,Movie,1,1
3620,Movie,20,2
3621,TV Show,28,3
3622,TV Show,8,1
3623,Movie,21,3
3624,TV Show,294,32
3625,Movie,16,4
3626,TV Show,39,12
3627,TV Show,488,158
3628,Movie,9,2
3629,TV Show,1,1
3630,Movie,30,3
3631,TV Show,37,4
3632,TV Show,16,2
3633,TV Show,301,33
3634,Movie,27,4
3635,TV Show,6,2
3636,TV Show,492,159
3637,TV Show,42,13
3638,Movie,18,5
3639,Movie,10,3
3640,Movie,40,4
3641,TV Show,46,5
3642,TV Show,24,3
3643,TV Show,308,34
3644,Movie,33,5
3645,TV Show,11,3
3646,TV Show,496,160
3647,TV Show,45,14
3648,Movie,20,6
3649,Movie,11,4
3650,TV Show,56,6
3651,Movie,49,5
3652,TV Show,32,4
3653,TV Show,315,35
3654,Movie,39,6
3655,TV Show,16,4
3656,TV Show,500,161
3657,Movie,23,7
3658,TV Show,47,15
3659,Movie,1,1
3660,TV Show,66,7
3661,Movie,58,6
3662,TV Show,40,5
3663,TV Show,322,36
3664,TV Show,506,162
3665,Movie,5,1
3666,Movie,43,7
3667,TV Show,19,5
3668,Movie,3,2
3669,Movie,24,8
3670,TV Show,76,8
3671,Movie,67,7
3672,Movie,8,1
3673,TV Show,47,6
3674,Movie,6,1
3675,Movie,10,2
3676,TV Show,4,1
3677,TV Show,325,37
3678,TV Show,508,163
3679,Movie,44,8
3680,TV Show,86,9
3681,Movie,17,2
3682,Movie,18,3
3683,Movie,74,8
3684,TV Show,10,2
3685,TV Show,52,7
3686,TV Show,4,1
3687,Movie,3,1
3688,TV Show,510,164
3689,Movie,7,2
3690,TV Show,96,10
3691,Movie,26,3
3692,Movie,8,1
3693,Movie,25,4
3694,Movie,10,2
3695,TV Show,9,2
3696,Movie,78,9
3697,TV Show,55,8
3698,Movie,5,2
3699,Movie,1,1
3700,Movie,18,2
3701,TV Show,105,11
3702,Movie,34,4
3703,Movie,32,5
3704,TV Show,15,3
3705,TV Show,5,1
3706,Movie,5,2
3707,TV Show,513,165
3708,Movie,2,1
3709,TV Show,326,38
3710,Movie,28,3
3711,TV Show,114,12
3712,TV Show,23,4
3713,Movie,41,5
3714,TV Show,11,2
3715,Movie,37,6
3716,Movie,9,3
3717,Movie,5,2
3718,Movie,2,1
3719,TV Show,514,166
3720,Movie,38,4
3721,TV Show,123,13
3722,TV Show,31,5
3723,Movie,48,6
3724,TV Show,17,3
3725,Movie,10,3
3726,TV Show,518,167
3727,Movie,12,4
3728,Movie,4,2
3729,Movie,38,7
3730,TV Show,133,14
3731,Movie,47,5
3732,TV Show,8,1
3733,TV Show,38,6
3734,TV Show,524,168
3735,Movie,53,7
3736,TV Show,21,4
3737,Movie,13,4
3738,Movie,6,3
3739,Movie,13,5
3740,Movie,10,1
3741,TV Show,142,15
3742,TV Show,16,2
3743,Movie,54,6
3744,TV Show,44,7
3745,TV Show,529,169
3746,Movie,4,1
3747,Movie,56,8
3748,Movie,8,4
3749,TV Show,22,5
3750,Movie,20,2
3751,TV Show,25,3
3752,TV Show,150,16
3753,Movie,11,2
3754,TV Show,50,8
3755,Movie,59,7
3756,TV Show,533,170
3757,Movie,59,9
3758,Movie,10,5
3759,Movie,14,6
3760,Movie,30,3
3761,TV Show,34,4
3762,TV Show,158,17
3763,Movie,18,3
3764,TV Show,56,9
3765,Movie,19,7
3766,TV Show,537,171
3767,Movie,13,6
3768,Movie,61,8
3769,Movie,60,10
3770,Movie,40,4
3771,TV Show,43,5
3772,TV Show,166,18
3773,TV Show,63,10
3774,Movie,24,4
3775,Movie,5,1
3776,TV Show,541,172
3777,TV Show,3,1
3778,TV Show,328,39
3779,Movie,20,8
3780,Movie,50,5
3781,TV Show,52,6
3782,TV Show,174,19
3783,TV Show,70,11
3784,TV Show,9,2
3785,TV Show,546,173
3786,Movie,9,2
3787,Movie,27,5
3788,TV Show,330,40
3789,Movie,21,9
3790,Movie,60,6
3791,TV Show,9,1
3792,Movie,8,1
3793,TV Show,7,1
3794,TV Show,180,20
3795,TV Show,57,7
3796,TV Show,550,174
3797,TV Show,73,12
3798,TV Show,11,3
3799,Movie,28,6
3800,TV Show,19,2
3801,Movie,17,2
3802,Movie,68,7
3803,TV Show,14,2
3804,TV Show,6,1
3805,TV Show,555,175
3806,TV Show,184,21
3807,TV Show,14,4
3808,TV Show,75,13
3809,TV Show,58,8
3810,TV Show,29,3
3811,Movie,26,3
3812,Movie,76,8
3813,TV Show,21,3
3814,TV Show,12,2
3815,TV Show,560,176
3816,TV Show,188,22
3817,TV Show,17,5
3818,TV Show,77,14
3819,TV Show,59,9
3820,Movie,10,1
3821,TV Show,38,4
3822,Movie,84,9
3823,Movie,33,4
3824,TV Show,18,3
3825,TV Show,26,4
3826,TV Show,564,177
3827,Movie,31,7
3828,TV Show,190,23
3829,TV Show,18,6
3830,Movie,20,2
3831,TV Show,27,4
3832,TV Show,46,5
3833,Movie,91,10
3834,Movie,39,5
3835,TV Show,31,5
3836,TV Show,568,178
3837,TV Show,193,24
3838,TV Show,20,7
3839,TV Show,78,15
3840,Movie,30,3
3841,TV Show,36,5
3842,TV Show,54,6
3843,TV Show,38,6
3844,Movie,45,6
3845,TV Show,573,179
3846,Movie,95,11
3847,TV Show,196,25
3848,TV Show,22,8
3849,TV Show,79,16
3850,TV Show,46,6
3851,Movie,39,4
3852,TV Show,581,180
3853,TV Show,61,7
3854,TV Show,44,7
3855,Movie,100,12
3856,Movie,49,7
3857,TV Show,25,9
3858,TV Show,198,26
3859,TV Show,80,17
3860,TV Show,54,8
3861,TV Show,55,7
3862,Movie,47,5
3863,TV Show,588,181
3864,TV Show,67,8
3865,Movie,105,13
3866,TV Show,29,10
3867,TV Show,83,18
3868,TV Show,200,27
3869,Movie,50,8
3870,TV Show,64,9
3871,TV Show,64,8
3872,Movie,8,1
3873,TV Show,595,182
3874,TV Show,6,1
3875,Movie,52,6
3876,TV Show,33,11
3877,TV Show,70,9
3878,TV Show,85,19
3879,TV Show,201,28
3880,TV Show,10,1
3881,Movie,17,2
3882,TV Show,72,10
3883,TV Show,71,9
3884,TV Show,601,183
3885,TV Show,11,2
3886,Movie,56,7
3887,TV Show,36,12
3888,TV Show,87,20
3889,Movie,106,14
3890,TV Show,20,2
3891,Movie,26,3
3892,TV Show,19,3
3893,TV Show,78,10
3894,TV Show,78,11
3895,TV Show,606,184
3896,Movie,60,8
3897,Movie,109,15
3898,TV Show,38,13
3899,TV Show,88,21
3900,TV Show,30,3
3901,Movie,35,4
3902,TV Show,27,4
3903,TV Show,85,11
3904,TV Show,84,12
3905,TV Show,611,185
3906,Movie,64,9
3907,Movie,112,16
3908,TV Show,90,22
3909,TV Show,39,14
3910,TV Show,40,4
3911,Movie,44,5
3912,TV Show,35,5
3913,TV Show,92,12
3914,TV Show,90,13
3915,TV Show,616,186
3916,TV Show,94,23
3917,TV Show,42,15
3918,Movie,2,1
3919,TV Show,331,41
3920,TV Show,50,5
3921,Movie,53,6
3922,TV Show,43,6
3923,TV Show,99,13
3924,TV Show,96,14
3925,TV Show,621,187
3926,TV Show,98,24
3927,TV Show,45,16
3928,Movie,4,2
3929,TV Show,332,42
3930,TV Show,60,6
3931,TV Show,105,15
3932,Movie,61,7
3933,TV Show,106,14
3934,TV Show,49,7
3935,TV Show,626,188
3936,TV Show,49,17
3937,Movie,7,3
3938,TV Show,334,43
3939,TV Show,99,25
3940,TV Show,70,7
3941,TV Show,114,16
3942,Movie,8,1
3943,TV Show,633,189
3944,TV Show,112,15
3945,Movie,66,8
3946,TV Show,4,1
3947,TV Show,52,8
3948,TV Show,51,18
3949,TV Show,335,44
3950,Movie,10,1
3951,TV Show,79,8
3952,Movie,16,2
3953,TV Show,121,17
3954,TV Show,639,190
3955,TV Show,9,2
3956,Movie,70,9
3957,TV Show,115,16
3958,TV Show,54,9
3959,TV Show,1,1
3960,Movie,20,2
3961,TV Show,88,9
3962,Movie,24,3
3963,Movie,7,1
3964,TV Show,127,18
3965,Movie,5,1
3966,Movie,4,1
3967,TV Show,642,191
3968,TV Show,11,3
3969,TV Show,2,2
3970,Movie,30,3
3971,TV Show,97,10
3972,Movie,32,4
3973,Movie,14,2
3974,TV Show,133,19
3975,Movie,10,2
3976,Movie,8,2
3977,TV Show,645,192
3978,TV Show,13,4
3979,TV Show,3,3
3980,Movie,40,4
3981,TV Show,106,11
3982,Movie,22,3
3983,Movie,15,3
3984,Movie,16,3
3985,Movie,37,5
3986,TV Show,137,20
3987,TV Show,6,4
3988,Movie,2,1
3989,TV Show,646,193
3990,Movie,50,5
3991,TV Show,115,12
3992,TV Show,94,12
3993,Movie,29,4
3994,Movie,22,4
3995,Movie,20,4
3996,TV Show,10,5
3997,Movie,40,6
3998,TV Show,139,21
3999,TV Show,647,194
4000,Movie,60,6
4001,TV Show,124,13
4002,TV Show,102,13
4003,Movie,36,5
4004,Movie,28,5
4005,Movie,25,5
4006,TV Show,14,6
4007,Movie,43,7
4008,TV Show,141,22
4009,TV Show,648,195
4010,TV Show,10,1
4011,Movie,69,7
4012,TV Show,110,14
4013,TV Show,148,23
4014,TV Show,130,14
4015,Movie,41,6
4016,TV Show,652,196
4017,TV Show,17,7
4018,Movie,27,6
4019,Movie,29,6
4020,TV Show,10,1
4021,TV Show,19,2
4022,Movie,77,8
4023,TV Show,117,15
4024,TV Show,136,15
4025,Movie,46,7
4026,TV Show,152,24
4027,TV Show,655,197
4028,Movie,2,1
4029,TV Show,18,8
4030,TV Show,20,2
4031,Movie,86,9
4032,TV Show,27,3
4033,TV Show,124,16
4034,TV Show,142,16
4035,Movie,7,2
4036,Movie,50,8
4037,TV Show,658,198
4038,TV Show,154,25
4039,Movie,1,1
4040,TV Show,30,3
4041,Movie,95,10
4042,TV Show,35,4
4043,Movie,8,2
4044,TV Show,130,17
4045,TV Show,147,17
4046,Movie,11,3
4047,Movie,53,9
4048,TV Show,2,1
4049,TV Show,659,199
4050,TV Show,40,4
4051,Movie,104,11
4052,TV Show,43,5
4053,Movie,15,3
4054,TV Show,136,18
4055,TV Show,7,2
4056,TV Show,151,18
4057,Movie,14,4
4058,TV Show,661,200
4059,Movie,54,10
4060,TV Show,50,5
4061,Movie,113,12
4062,TV Show,15,3
4063,TV Show,50,6
4064,TV Show,142,19
4065,TV Show,156,19
4066,Movie,19,4
4067,TV Show,664,201
4068,Movie,16,5
4069,Movie,55,11
4070,TV Show,60,6
4071,TV Show,9,1
4072,Movie,121,13
4073,TV Show,22,4
4074,TV Show,56,7
4075,TV Show,669,202
4076,TV Show,146,20
4077,TV Show,159,20
4078,Movie,21,5
4079,Movie,56,12
4080,TV Show,19,2
4081,TV Show,69,7
4082,TV Show,30,5
4083,Movie,128,14
4084,TV Show,6,1
4085,TV Show,674,203
4086,TV Show,60,8
4087,TV Show,149,21
4088,TV Show,161,21
4089,Movie,22,6
4090,Movie,10,1
4091,TV Show,28,3
4092,TV Show,77,8
4093,Movie,135,15
4094,TV Show,36,6
4095,Movie,5,1
4096,TV Show,10,2
4097,TV Show,677,204
4098,TV Show,2,1
4099,Movie,1,1
4100,Movie,20,2
4101,TV Show,37,4
4102,TV Show,85,9
4103,Movie,142,16
4104,TV Show,6,1
4105,TV Show,7,2
4106,TV Show,40,7
4107,Movie,4,2
4108,TV Show,679,205
4109,TV Show,11,3
4110,Movie,30,3
4111,TV Show,46,5
4112,TV Show,93,10
4113,TV Show,13,2
4114,Movie,148,17
4115,TV Show,12,3
4116,Movie,8,3
4117,TV Show,43,8
4118,Movie,7,2
4119,TV Show,680,206
4120,Movie,40,4
4121,TV Show,55,6
4122,TV Show,101,11
4123,TV Show,20,3
4124,Movie,154,18
4125,TV Show,17,4
4126,Movie,12,4
4127,TV Show,46,9
4128,Movie,9,3
4129,TV Show,681,207
4130,Movie,50,5
4131,TV Show,64,7
4132,TV Show,109,12
4133,TV Show,53,10
4134,Movie,160,19
4135,Movie,17,5
4136,TV Show,685,208
4137,Movie,12,4
4138,TV Show,22,4
4139,TV Show,18,5
4140,TV Show,211,29
4141,Movie,59,6
4142,TV Show,72,8
4143,TV Show,116,13
4144,TV Show,59,11
4145,Movie,165,20
4146,TV Show,689,209
4147,Movie,15,5
4148,Movie,19,6
4149,TV Show,23,5
4150,TV Show,221,30
4151,Movie,68,7
4152,TV Show,80,9
4153,TV Show,123,14
4154,TV Show,65,12
4155,Movie,5,1
4156,TV Show,693,210
4157,Movie,168,21
4158,Movie,17,6
4159,TV Show,24,6
4160,Movie,10,1
4161,TV Show,230,31
4162,Movie,76,8
4163,TV Show,113,18
4164,TV Show,86,10
4165,Movie,173,22
4166,TV Show,697,211
4167,TV Show,126,15
4168,TV Show,67,13
4169,Movie,6,2
4170,Movie,20,2
4171,TV Show,239,32
4172,Movie,84,9
4173,TV Show,120,19
4174,Movie,179,23
4175,TV Show,91,11
4176,Movie,10,3
4177,TV Show,700,212
4178,TV Show,128,16
4179,TV Show,68,14
4180,Movie,30,3
4181,TV Show,248,33
4182,Movie,92,10
4183,Movie,17,4
4184,TV Show,126,20
4185,Movie,184,24
4186,TV Show,95,12
4187,TV Show,131,17
4188,TV Show,70,15
4189,TV Show,701,213
4190,Movie,40,4
4191,TV Show,257,34
4192,Movie,100,11
4193,Movie,24,5
4194,TV Show,132,21
4195,Movie,189,25
4196,TV Show,99,13
4197,TV Show,134,18
4198,TV Show,72,16
4199,TV Show,702,214
4200,Movie,50,5
4201,Movie,9,1
4202,TV Show,265,35
4203,TV Show,709,215
4204,TV Show,138,22
4205,TV Show,77,17
4206,TV Show,103,14
4207,TV Show,137,19
4208,Movie,191,26
4209,Movie,25,6
4210,Movie,60,6
4211,Movie,18,2
4212,TV Show,273,36
4213,TV Show,716,216
4214,TV Show,144,23
4215,TV Show,82,18
4216,Movie,195,27
4217,TV Show,106,15
4218,TV Show,139,20
4219,Movie,26,7
4220,Movie,28,3
4221,Movie,69,7
4222,Movie,8,1
4223,TV Show,7,1
4224,TV Show,279,37
4225,TV Show,721,217
4226,Movie,199,28
4227,TV Show,147,24
4228,TV Show,84,19
4229,TV Show,107,16
4230,TV Show,146,21
4231,Movie,37,4
4232,Movie,8,1
4233,Movie,76,8
4234,Movie,14,2
4235,TV Show,12,2
4236,TV Show,4,1
4237,TV Show,724,218
4238,TV Show,281,38
4239,Movie,200,29
4240,TV Show,166,23
4241,Movie,17,2
4242,Movie,45,5
4243,Movie,83,9
4244,Movie,20,3
4245,TV Show,17,3
4246,TV Show,8,2
4247,TV Show,727,219
4248,Movie,202,30
4249,TV Show,282,39
4250,TV Show,176,24
4251,Movie,26,3
4252,Movie,53,6
4253,Movie,27,4
4254,Movie,89,10
4255,TV Show,22,4
4256,TV Show,12,3
4257,TV Show,730,220
4258,Movie,204,31
4259,TV Show,283,40
4260,TV Show,186,25
4261,Movie,35,4
4262,Movie,61,7
4263,Movie,34,5
4264,Movie,95,11
4265,TV Show,5,1
4266,TV Show,26,5
4267,TV Show,15,4
4268,TV Show,732,221
4269,TV Show,284,41
4270,TV Show,196,26
4271,Movie,44,5
4272,TV Show,13,2
4273,Movie,68,8
4274,TV Show,738,222
4275,Movie,39,6
4276,Movie,99,12
4277,TV Show,29,6
4278,TV Show,17,5
4279,TV Show,285,42
4280,TV Show,206,27
4281,Movie,53,6
4282,TV Show,21,3
4283,Movie,75,9
4284,TV Show,744,223
4285,Movie,5,1
4286,TV Show,33,7
4287,Movie,102,13
4288,Movie,41,7
4289,TV Show,18,6
4290,TV Show,216,28
4291,TV Show,30,4
4292,Movie,61,7
4293,Movie,82,10
4294,Movie,11,2
4295,TV Show,749,224
4296,TV Show,37,8
4297,Movie,105,14
4298,Movie,43,8
4299,TV Show,1,1
4300,TV Show,226,29
4301,TV Show,9,1
4302,TV Show,38,5
4303,Movie,68,8
4304,Movie,88,11
4305,TV Show,754,225
4306,Movie,15,3
4307,Movie,108,15
4308,Movie,2,1
4309,TV Show,2,2
4310,TV Show,19,2
4311,TV Show,235,30
4312,TV Show,46,6
4313,Movie,22,4
4314,Movie,74,9
4315,Movie,93,12
4316,TV Show,758,226
4317,Movie,3,1
4318,Movie,110,16
4319,Movie,3,2
4320,TV Show,29,3
4321,TV Show,244,31
4322,Movie,30,5
4323,TV Show,53,7
4324,TV Show,764,227
4325,Movie,98,13
4326,Movie,78,10
4327,Movie,6,2
4328,Movie,112,17
4329,Movie,4,3
4330,TV Show,39,4
4331,TV Show,253,32
4332,Movie,38,6
4333,TV Show,60,8
4334,TV Show,770,228
4335,Movie,103,14
4336,Movie,82,11
4337,Movie,9,3
4338,Movie,6,4
4339,Stand-Up Comedy,1,1
4340,TV Show,49,5
4341,TV Show,262,33
4342,Movie,46,7
4343,TV Show,67,9
4344,TV Show,776,229
4345,Movie,108,15
4346,Movie,86,12
4347,Movie,12,4
4348,Movie,8,5
4349,Movie,113,18
4350,TV Show,59,6
4351,Movie,9,1
4352,TV Show,270,34
4353,TV Show,783,230
4354,TV Show,73,10
4355,Movie,51,8
4356,Movie,112,16
4357,Movie,89,13
4358,Movie,10,6
4359,Stand-Up Comedy,2,2
4360,TV Show,69,7
4361,Movie,18,2
4362,TV Show,8,1
4363,TV Show,277,35
4364,TV Show,789,231
4365,TV Show,78,11
4366,Movie,55,9
4367,Movie,115,17
4368,Movie,91,14
4369,TV Show,68,14
4370,TV Show,79,8
4371,TV Show,17,2
4372,Movie,26,3
4373,Movie,7,1
4374,TV Show,93,15
4375,TV Show,794,232
4376,TV Show,281,36
4377,Movie,118,18
4378,TV Show,70,15
4379,Movie,56,10
4380,TV Show,27,3
4381,TV Show,88,9
4382,Movie,15,2
4383,Movie,33,4
4384,TV Show,99,16
4385,TV Show,799,233
4386,TV Show,285,37
4387,TV Show,73,16
4388,Movie,120,19
4389,Movie,57,11
4390,TV Show,37,4
4391,TV Show,97,10
4392,Movie,23,3
4393,Movie,40,5
4394,TV Show,105,17
4395,TV Show,804,234
4396,TV Show,289,38
4397,TV Show,76,17
4398,Movie,2,1
4399,Movie,121,20
4400,TV Show,47,5
4401,Movie,32,4
4402,TV Show,105,11
4403,TV Show,112,18
4404,Movie,46,6
4405,TV Show,809,235
4406,TV Show,293,39
4407,TV Show,79,18
4408,Movie,4,2
4409,Movie,1,1
4410,TV Show,57,6
4411,Movie,41,5
4412,TV Show,113,12
