,Type,Viewership Score,Days In Top 10
1458,Movie,58,12
1459,TV Show,3,3
1460,TV Show,40,4
1461,Movie,106,11
1462,Movie,35,6
1463,TV Show,215,25
1464,TV Show,11,3
1465,Movie,24,4
1466,TV Show,83,11
1467,Movie,3,1
1468,TV Show,26,6
1469,Movie,59,13
1470,TV Show,50,5
1471,TV Show,224,26
1472,TV Show,19,4
1473,Movie,113,12
1474,Movie,41,7
1475,TV Show,88,12
1476,Movie,28,5
1477,Movie,6,2
1478,TV Show,2,1
1479,TV Show,27,7
1480,TV Show,60,6
1481,TV Show,28,5
1482,TV Show,232,27
1483,Movie,120,13
1484,TV Show,6,1
1485,TV Show,7,2
1486,Movie,10,3
1487,TV Show,91,13
1488,Movie,43,8
1489,Movie,29,6
1490,TV Show,70,7
1491,TV Show,15,2
1492,TV Show,36,6
1493,TV Show,7,1
1494,TV Show,238,28
1495,Movie,15,4
1496,Movie,124,14
1497,TV Show,10,3
1498,TV Show,2,1
1499,TV Show,92,14
1500,TV Show,10,1
1501,TV Show,79,8
1502,TV Show,23,3
1503,TV Show,7,1
1504,TV Show,13,2
1505,TV Show,41,7
1506,TV Show,242,29
1507,Movie,127,15
1508,TV Show,4,2
1509,Movie,16,5
1510,TV Show,20,2
1511,TV Show,88,9
1512,TV Show,15,2
1513,TV Show,30,4
1514,Movie,6,1
1515,TV Show,18,3
1516,TV Show,246,30
1517,Movie,130,16
1518,TV Show,6,3
1519,TV Show,42,8
1520,TV Show,30,3
1521,Movie,15,2
1522,TV Show,96,10
1523,TV Show,22,3
1524,TV Show,36,5
1525,TV Show,251,31
1526,Movie,134,17
1527,TV Show,21,4
1528,TV Show,8,4
1529,TV Show,43,9
1530,TV Show,40,4
1531,Movie,24,3
1532,TV Show,104,11
1533,TV Show,43,6
1534,TV Show,28,4
1535,TV Show,13,5
1536,TV Show,255,32
1537,TV Show,24,5
1538,Movie,2,1
1539,TV Show,44,10
1540,TV Show,50,5
1541,Movie,9,1
1542,TV Show,8,1
1543,TV Show,111,12
1544,Movie,30,4
1545,Movie,7,2
1546,TV Show,17,6
1547,TV Show,46,7
1548,TV Show,257,33
1549,Movie,1,1
1550,TV Show,60,6
1551,Movie,18,2
1552,TV Show,16,2
1553,Movie,8,2
1554,TV Show,117,13
1555,Movie,35,5
1556,Movie,4,1
1557,TV Show,20,7
1558,TV Show,2,1
1559,TV Show,258,34
1560,TV Show,70,7
1561,Movie,27,3
1562,Movie,8,1
1563,TV Show,23,3
1564,Movie,14,3
1565,TV Show,7,2
1566,TV Show,121,14
1567,Movie,7,2
1568,Movie,37,6
1569,TV Show,21,8
1570,TV Show,80,8
1571,Movie,17,2
1572,Movie,35,4
1573,TV Show,7,1
1574,Movie,20,4
1575,TV Show,28,4
1576,TV Show,11,3
1577,TV Show,124,15
1578,Movie,9,3
1579,TV Show,22,9
1580,TV Show,90,9
1581,TV Show,16,2
1582,Movie,25,3
1583,Movie,42,5
1584,Movie,26,5
1585,TV Show,33,5
1586,TV Show,15,4
1587,Movie,12,4
1588,TV Show,126,16
1589,TV Show,23,10
1590,TV Show,26,3
1591,TV Show,99,10
1592,Movie,33,4
1593,Movie,33,6
1594,Movie,48,6
1595,TV Show,20,5
1596,TV Show,37,6
1597,TV Show,129,17
1598,Movie,2,1
1599,Movie,1,1
1600,TV Show,36,4
1601,TV Show,108,11
1602,Movie,41,5
1603,Movie,40,7
1604,Movie,54,7
1605,TV Show,25,6
1606,TV Show,41,7
1607,TV Show,132,18
1608,Movie,4,2
1609,Movie,2,2
1610,TV Show,46,5
1611,TV Show,117,12
1612,Movie,49,6
1613,Movie,7,1
1614,Movie,60,8
1615,Movie,45,8
1616,TV Show,45,8
1617,TV Show,135,19
1618,TV Show,27,7
1619,TV Show,24,11
1620,TV Show,56,6
1621,TV Show,126,13
1622,Movie,15,2
1623,TV Show,7,1
1624,Movie,55,7
1625,Movie,65,9
1626,TV Show,49,9
1627,Movie,48,9
1628,TV Show,26,12
1629,TV Show,136,20
1630,TV Show,66,7
1631,Movie,9,1
1632,TV Show,134,14
1633,TV Show,14,2
1634,Movie,21,3
1635,TV Show,31,13
1636,Movie,59,8
1637,TV Show,52,10
1638,Movie,2,1
1639,Movie,66,10
1640,TV Show,76,8
1641,Movie,18,2
1642,TV Show,142,15
1643,Movie,7,1
1644,TV Show,20,3
1645,Movie,26,4
1646,TV Show,4,1
1647,Movie,3,1
1648,Movie,4,2
1649,TV Show,1,1
1650,TV Show,86,9
1651,Movie,16,2
1652,Movie,26,3
1653,TV Show,149,16
1654,TV Show,26,4
1655,Movie,31,5
1656,Movie,8,3
1657,Movie,6,2
1658,TV Show,6,2
1659,TV Show,2,2
1660,TV Show,96,10
1661,Movie,25,3
1662,TV Show,157,17
1663,Movie,33,4
1664,TV Show,32,5
1665,Movie,13,4
1666,Movie,10,3
1667,Movie,34,6
1668,TV Show,8,3
1669,TV Show,3,3
1670,TV Show,106,11
1671,Movie,34,4
1672,TV Show,165,18
1673,Movie,20,5
1674,TV Show,38,6
1675,Movie,38,5
1676,Movie,14,4
1677,TV Show,11,4
1678,TV Show,33,14
1679,TV Show,4,4
1680,TV Show,116,12
1681,TV Show,174,19
1682,Movie,42,5
1683,Movie,27,6
1684,TV Show,44,7
1685,Movie,43,6
1686,Movie,18,5
1687,TV Show,3,1
1688,TV Show,35,15
1689,Movie,1,1
1690,Movie,10,1
1691,TV Show,125,13
1692,TV Show,182,20
1693,Movie,34,7
1694,Movie,48,6
1695,Movie,5,1
1696,TV Show,4,1
1697,TV Show,47,8
1698,Movie,2,1
1699,TV Show,4,2
1700,Movie,20,2
1701,TV Show,134,14
1702,Movie,13,2
1703,TV Show,11,2
1704,TV Show,188,21
1705,Movie,39,8
1706,Movie,6,2
1707,Movie,51,7
1708,TV Show,49,9
1709,Movie,1,1
1710,TV Show,10,1
1711,TV Show,9,1
1712,Movie,21,3
1713,Movie,27,3
1714,Movie,7,2
1715,TV Show,139,15
1716,TV Show,192,22
1717,TV Show,14,3
1718,Movie,41,9
1719,Movie,52,8
1720,TV Show,20,2
1721,TV Show,18,2
1722,Movie,15,3
1723,Movie,28,4
1724,Movie,33,4
1725,TV Show,144,16
1726,Movie,45,10
1727,TV Show,195,23
1728,TV Show,16,4
1729,Movie,53,9
1730,TV Show,30,3
1731,Movie,24,4
1732,TV Show,26,3
1733,Movie,35,5
1734,Movie,39,5
1735,TV Show,200,24
1736,Movie,49,11
1737,TV Show,147,17
1738,TV Show,18,5
1739,TV Show,1,1
1740,TV Show,40,4
1741,TV Show,35,4
1742,Movie,32,5
1743,Movie,42,6
1744,TV Show,206,25
1745,Movie,44,6
1746,TV Show,151,18
1747,TV Show,4,2
1748,Movie,51,12
1749,TV Show,1,1
1750,TV Show,50,5
1751,TV Show,44,5
1752,Movie,40,6
1753,Movie,49,7
1754,TV Show,212,26
1755,TV Show,9,3
1756,TV Show,5,2
1757,TV Show,154,19
1758,Movie,53,13
1759,Movie,45,7
1760,TV Show,60,6
1761,Movie,9,1
1762,TV Show,52,6
1763,Movie,47,7
1764,Movie,55,8
1765,TV Show,14,4
1766,TV Show,216,27
1767,TV Show,8,3
1768,TV Show,156,20
1769,TV Show,36,16
1770,TV Show,70,7
1771,Movie,18,2
1772,Movie,8,1
1773,TV Show,59,7
1774,Movie,61,9
1775,Movie,52,8
1776,TV Show,18,5
1777,TV Show,219,28
1778,TV Show,10,4
1779,TV Show,37,17
1780,Movie,28,3
1781,TV Show,79,8
1782,Movie,16,2
1783,TV Show,66,8
1784,Movie,67,10
1785,Movie,57,9
1786,TV Show,4,1
1787,TV Show,21,6
1788,TV Show,39,18
1789,TV Show,220,29
1790,Movie,38,4
1791,TV Show,88,9
1792,Movie,24,3
1793,TV Show,73,9
1794,Movie,63,10
1795,Movie,72,11
1796,TV Show,4,1
1797,TV Show,223,30
1798,TV Show,41,19
1799,TV Show,1,1
1800,TV Show,98,10
1801,Movie,47,5
1802,Movie,32,4
1803,TV Show,11,2
1804,TV Show,79,10
1805,Movie,5,1
1806,TV Show,5,2
1807,Movie,66,11
1808,Movie,74,12
1809,TV Show,224,31
1810,TV Show,108,11
1811,Movie,56,6
1812,Movie,40,5
1813,Movie,12,2
1814,TV Show,17,3
1815,TV Show,84,11
1816,TV Show,9,3
1817,TV Show,44,20
1818,TV Show,226,32
1819,TV Show,22,7
1820,TV Show,118,12
1821,Movie,21,3
1822,Movie,64,7
1823,Movie,47,6
1824,TV Show,23,4
1825,TV Show,89,12
1826,TV Show,48,21
1827,TV Show,12,4
1828,TV Show,24,8
1829,TV Show,227,33
1830,Movie,10,1
1831,TV Show,127,13
1832,Movie,29,4
1833,Movie,71,8
1834,TV Show,29,5
1835,Movie,52,7
1836,Movie,4,1
1837,TV Show,51,22
1838,TV Show,91,13
1839,TV Show,1,1
1840,Movie,20,2
1841,TV Show,136,14
1842,Movie,8,1
1843,Movie,78,9
1844,TV Show,35,6
1845,Movie,9,2
1846,TV Show,5,2
1847,Movie,32,5
1848,Movie,2,1
1849,TV Show,52,23
1850,Movie,30,3
1851,TV Show,145,15
1852,Movie,16,2
1853,TV Show,7,1
1854,Movie,84,10
1855,Movie,14,3
1856,TV Show,8,2
1857,TV Show,8,3
1858,TV Show,37,7
1859,TV Show,53,24
1860,Movie,40,4
1861,TV Show,16,2
1862,TV Show,153,16
1863,Movie,23,3
1864,TV Show,6,1
1865,Movie,89,11
1866,Movie,18,4
1867,TV Show,11,4
1868,Movie,4,2
1869,TV Show,54,25
1870,Movie,50,5
1871,TV Show,25,3
1872,TV Show,14,2
1873,TV Show,160,17
1874,TV Show,6,1
1875,Movie,28,4
1876,Movie,93,12
1877,Movie,7,3
1878,Movie,20,5
1879,TV Show,55,26
1880,Movie,60,6
1881,TV Show,34,4
1882,TV Show,22,3
1883,TV Show,167,18
1884,TV Show,12,2
1885,Movie,5,1
1886,Movie,32,5
1887,Movie,3,1
1888,TV Show,57,27
1889,Movie,8,4
1890,Movie,70,7
1891,TV Show,43,5
1892,TV Show,30,4
1893,TV Show,19,3
1894,TV Show,173,19
1895,Movie,5,1
1896,Movie,9,2
1897,Movie,6,2
1898,Movie,34,6
1899,TV Show,58,28
1900,Movie,10,1
1901,Movie,79,8
1902,TV Show,51,6
1903,TV Show,37,5
1904,Movie,11,2
1905,TV Show,24,4
1906,TV Show,177,20
1907,TV Show,61,29
1908,Movie,8,3
1909,Movie,10,3
1910,Movie,20,2
1911,Movie,88,9
1912,TV Show,59,7
1913,TV Show,44,6
1914,Movie,17,3
1915,TV Show,5,1
1916,TV Show,28,5
1917,TV Show,180,21
1918,TV Show,63,30
1919,Movie,9,4
1920,Movie,30,3
1921,TV Show,9,1
1922,TV Show,67,8
1923,Movie,95,10
1924,TV Show,50,7
1925,TV Show,10,2
1926,Movie,21,4
1927,TV Show,11,3
1928,TV Show,182,22
1929,TV Show,29,6
1930,TV Show,19,2
1931,Movie,39,4
1932,TV Show,75,9
1933,Movie,102,11
1934,TV Show,56,8
1935,Movie,26,5
1936,TV Show,14,3
1937,TV Show,185,23
1938,TV Show,31,7
1939,TV Show,12,4
1940,TV Show,29,3
1941,Movie,48,5
1942,TV Show,83,10
1943,Movie,33,6
1944,Movie,108,12
1945,TV Show,61,9
1946,TV Show,18,4
1947,TV Show,34,8
1948,TV Show,187,24
1949,TV Show,64,31
1950,TV Show,39,4
1951,Movie,57,6
1952,TV Show,91,11
1953,TV Show,68,10
1954,TV Show,24,5
1955,Movie,38,7
1956,Movie,112,13
1957,TV Show,37,9
1958,TV Show,189,25
1959,TV Show,65,32
1960,TV Show,49,5
1961,Movie,66,7
1962,TV Show,99,12
1963,TV Show,75,11
1964,TV Show,30,6
1965,TV Show,42,10
1966,Movie,116,14
1967,TV Show,68,33
1968,Movie,40,8
1969,TV Show,190,26
1970,TV Show,59,6
1971,Movie,75,8
1972,TV Show,107,13
1973,TV Show,82,12
1974,TV Show,36,7
1975,TV Show,5,1
1976,TV Show,46,11
1977,Movie,3,1
1978,TV Show,70,34
1979,Movie,117,15
1980,TV Show,69,7
1981,Movie,84,9
1982,TV Show,115,14
1983,Movie,10,2
1984,TV Show,88,13
1985,TV Show,41,8
1986,TV Show,9,2
1987,TV Show,49,12
1988,TV Show,2,1
1989,TV Show,71,35
1990,TV Show,79,8
1991,Movie,93,10
1992,Movie,18,3
1993,Movie,7,1
1994,TV Show,121,15
1995,Movie,5,1
1996,TV Show,16,5
1997,TV Show,91,14
1998,TV Show,11,3
1999,TV Show,50,13
2000,TV Show,89,9
2001,Movie,102,11
2002,Movie,15,2
2003,Movie,25,4
2004,TV Show,127,16
2005,Movie,10,2
2006,TV Show,95,15
2007,TV Show,53,14
2008,TV Show,73,36
2009,TV Show,17,6
